ts	phase	decision	why	evidence	result
2026-09-14T14:38:09Z	ground	started PR-A long-prefill chunk	plan already names the state machine; next is how+architect before code	docs/sm70_long_prefill_chunk_plan.md	open
2026-09-14T14:44:48Z	ground	preTokens is not only isPrompt	after first chunk preTokens>0 so hasPrefill/currentActivate/idleBurst would treat a still-prefilling request as decode-alive and stall C=2	/home/fastllm/.audit/long-prefill-grounding.md	open
2026-09-14T14:55:19Z	ground	wrote FillLLMInputs position characterization test	locks promptLen = cacheLen + already + curLen and remainder-1 index=0 before scheduler changes	test/ops/fillLlmInputsPrefillChunkRegression.cpp	open
2026-09-14T15:09:59Z	sketch	picked remaining-count as base	currentTokens already means unfed; grafted ClassifyRequest and cacheLen-is-restore from the other two sketches	/tmp/arena-long-prefill/synthesis.md	open
2026-09-14T15:39:23Z	implement	wired remaining-count into RunNewMainLoop	ClassifyRequest owns stall algebra; cacheLen stays restore-only; intermediate commit erases prefix	src/models/basellm.cpp,include/models/longPrefillChunk.h	open
2026-09-14T15:39:31Z	implement	wired remaining-count into RunNewMainLoop	ClassifyRequest owns stall algebra; cacheLen stays restore-only; intermediate commit erases prefix	src/models/basellm.cpp+include/models/longPrefillChunk.h	open
2026-09-14T15:39:31Z	verify	FillLLMInputs and algebra tests green	position contract and stall/C=2 budget cases pass without GPU	fillLlmInputsPrefillChunkRegression+longPrefillChunkAlgebra	tests green
2026-09-14T15:49:47Z	verify	8K C=2 GPU warmup died before scheduler	QPN2 sidecar and leftover N-pad objects crash cublas in warmup; not a scheduler signal	warmup-cublas-error	INCONCLUSIVE
2026-09-14T15:53:19Z	verify	8K C=2 greedy ran on selection-chunked scheduler	TTFT min 5.66s max 11.57s gap 5.90s; both requests 3.30 tok/s in common window; graphs and QPN2 off	8k-c2-ttft-gap-5.90s	tests green
2026-09-14T17:34:58Z	verify	80K C=1 greedy on RunNewMainLoop	prefill 1958.80 tok/s vs plan 1971; decode 43.21 tok/s graphs off vs plan 61.16 graphs on; TTFT 41.82s; banner chunk on size=2048	80k-c1-graphs-off	open
2026-09-14T16:10:00Z	verify	8K C=2 greedy sha256 matches FASTLLM_LONG_PREFILL_CHUNK=0	both 0e75bdf66285415a0df02f6857f18975ffd1070036e1ace3e5ed2d273cde6036; decode 84.28 vs 84.78 tok/s after restore skip	8k-c2-sha256-match	tests green
2026-09-14T16:20:00Z	implement	skip prefix restore after first prefill chunk	mid-prompt Query(currentTokens) can prefix-hit a peer and replace live KV	basellm.cpp:preTokens==0 restore guard	open
2026-09-14T17:11:56Z	implement	in-flight chunks skip pagesLimit; print live chunk size; count decode before last TTFT	80K C=2 hits pagesLimit mid-prompt; common-window rates start at last TTFT so they hide yield	longPrefillChunk.h:inFlightPrefill+benchmark.py:decode_tokens_before_last_ttft	open
2026-09-14T17:21:09Z	verify	80K C=2 on auto-handoff never entered RunNewMainLoop	TTFT 40.9s/82.0s; 0 tokens before last TTFT; no Long prefill chunk banner; gpu_token_handoff=on selects Qwen35MTPLoop	80k-c2-wrong-scheduler	INCONCLUSIVE
2026-09-14T17:22:34Z	verify	8K C=2 on RunNewMainLoop yields during peer prefill	banner chunk on size=2048; #0 before last TTFT=1; sha256 still 0e75bdf6; TTFT 5.65s/6.48s; common window 80.73 tok/s	8k-c2-handoff-off-yield-1	tests green
2026-09-14T17:28:38Z	implement	arm chunking only on admit; sort in-flight by preTokens>0	80K C=2 ping-ponged because ArmChunkedPrefill ran before the token-budget skip so the unfed peer sorted first	PrefillOrderSortKey+ArmChunkedPrefill after admit	open
