ts	phase	decision	why	evidence	result
2026-09-14T12:29:11Z	frame	predicate: graph no-end with independent dest beats graph NCCL by >=3% at 10 KiB, and a 3-AR ping-pong chain stays correct under 512 skewed replays	production decode is CUDA Graph; eager 15.00 vs 16.58 cannot be moved without a graph number	docs/sm70_ar_microbench_deepdive.md:179 /home/arproto/noend_graph_probe.cu	open
2026-09-14T12:34:55Z	harness	froze noend_graph_probe: graph replay, per-thread stream, independent dest, 3-round median, 512 skewed replay correctness	engine decode is graph not eager; probe must match that or the 15 vs 16 us number cannot be used	/home/arproto/noend_graph_probe.cu --verify PASS	tests green
2026-09-14T12:37:09Z	experiment	KEEP no-end with independent dest on graph replay at 10 KiB: 12.94 vs graph NCCL 16.05 us (19% faster); 512 skewed chain replay ranks_match	end barrier is the in-place handshake; ping-pong dest makes the next AR start barrier the completion handshake	/home/arproto/noend_graph_run1.txt /home/arproto/noend_graph_probe --verify PASS	kept
2026-09-14T12:42:55Z	land	do not wire no-end into FastllmCustomAllReduceKernel this round	engine AR is still in-place; turning writeAfterBarrier off with dest==data would race peer reads	src/devices/multicuda/fastllm-custom-allreduce.cu:1474 src/models/qwen3_5.cpp in-place FastllmNcclAllReduce	deferred
2026-09-14T12:50:24Z	review	captured verify output; replay checks ranks_match not values; chain us amortizes graph launch; probe writes in-loop (fusedCopyBack=false)	cross-model review of the trail found the verify claim had no on-disk artifact and overstated replay	/home/arproto/noend_graph_verify.txt	documented
2026-09-14T15:53:40Z	land	wired skip-end when dest!=data and ping-pong dest on Qwen3.5 decode hot path	independent dest is the legal graph rewrite; next AR start barrier is the completion handshake	fastllm-custom-allreduce.cu skipEndBarrier qwen3_cuda_common.h Qwen3CudaTpReducePingPong customAllReduceRegression graph_pingpong_ordering=1	tests green
2026-09-14T15:59:36Z	measure	KEEP ping-pong skip-end on Qwen3.5 TP4 decode: 13.31 to 13.16 ms/token, 75.13 to 76.02 tok/s, token sha256 unchanged	independent dest lets the kernel drop the end barrier; next start barrier is the handshake	/tmp/ar_pingpong_decode_128.log sha256 d5fcc5fc customAllReduceRegression graph_pingpong_ordering=1	kept
2026-09-15T00:13:56Z	frame	next cut decomposes the 21.3 us AR: barrier vs cross-rank skew vs payload vs stream gap, via in-kernel %globaltimer probe; PairAdd structurally impossible (attn AR feeds RMSNorm feeds MLP AR), PushAdd gated to TP2	conservation of wait: removing barriers cannot remove skew absorption; need the phase split before picking a code lever	fastllm-custom-allreduce.cu:986 qwen3_5.cpp:11776 docs/sm70_ar_microbench_deepdive.md:199	open
2026-09-15T00:51:15Z	experiment	KEEP probe decomposition: pull(skip-end) kernel = 5.1us barrier + 6.1us payload, 14.0us/AR back-to-back; push4 = 3.6us kernel, 6.3us/AR back-to-back, 2.2x, max_abs_err=0	barrier wait is uniform across ranks so it is protocol RTT not skew absorption; push turns remote-read polls into local polls and drops the flag exchange	/home/arproto/ar_phase_run0.txt /home/arproto/ar_phase_push0.txt ar_phase_probe.cu	kept
2026-09-15T00:51:47Z	land	next cut: implement TP4 push AR in FastLLM behind the ping-pong independent-dest path, A/B engine decode with token sha256	push4 wins 2.2x in probe; engine gain bounded 0.3-1.0 ms/token by queueing and KV contention	docs/sm70_ar_microbench_deepdive.md:section6 /home/arproto/ar_phase_probe.cu	open
2026-09-15T01:03:28Z	plan	wrote TP4 push AR landing plan: kernel mirrors TP2 pushAdd minus residual, rank-order FP32 sum, consumer slot reset is the soundness linchpin, 320KiB/rank, env-gated A/B	probe showed 2.2x per-AR; plan pins benefit 12.2-12.96 ms/token with central +3-4% and a bit-exact hash gate	docs/sm70_tp4_push_ar_plan.md	open
2026-09-15T01:15:38Z	plan	TP4 push AR deferred by human: central +3-4% not worth current investment; no engine code written, plan and probe retained	product call after seeing the quantified range; AR thread closes at ping-pong skip-end (+1.1% decode)	docs/sm70_tp4_push_ar_plan.md status line docs/sm70_ar_microbench_deepdive.md section6 item3	deferred
